batch size,lr of fc,lr of other layers,epochs,scheduler,acc on test dataset
32,0.01,0.001,10,True,0.9598
32,0.01,0.001,20,True,0.9561
32,0.01,0.001,30,True,0.9659
32,0.01,0.0003,10,True,0.9488
32,0.01,0.0003,20,True,0.9512
32,0.01,0.0003,30,True,0.9512
32,0.01,0.0001,10,True,0.9427
32,0.01,0.0001,20,True,0.9476
32,0.01,0.0001,30,True,0.9512
32,0.01,0.0,10,True,0.9171
32,0.01,0.0,20,True,0.9171
32,0.01,0.0,30,True,0.9159
32,0.001,0.001,10,True,0.9598
32,0.001,0.001,20,True,0.9573
32,0.001,0.001,30,True,0.9549
32,0.001,0.0003,10,True,0.9451
32,0.001,0.0003,20,True,0.9537
32,0.001,0.0003,30,True,0.9476
32,0.001,0.0001,10,True,0.9317
32,0.001,0.0001,20,True,0.9378
32,0.001,0.0001,30,True,0.9305
32,0.001,0.0,10,True,0.8976
32,0.001,0.0,20,True,0.9110
32,0.001,0.0,30,True,0.9037
